Country (Name),ASFIS species (Scientific name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Belize,Eucheuma spp,"Atlantic, Western Central",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3.6,,10,E,2.2,,3,E,3,E,3,E,3,E,3,E
Brazil,Kappaphycus alvarezii,"Atlantic, Southwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,300,E,500,E,700,E,700,E,700,E,700,E,700,E,700,E,700,E,700,E,700,E,700,E
Brazil,Gracilaria spp,"Atlantic, Southwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,E,20,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E
Cambodia,Eucheuma spp,"Pacific, Western Central",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3500,,3650,,7800,,16840,,18000,,6810,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2000,E,2235,,2200,E,2200,E,2000,E
Chile,Porphyra columbina,"Pacific, Southeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,29,,7,,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,Macrocystis pyrifera,"Pacific, Southeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,5,,12,,0,N,0,,0,...,2,,0,...,0,N,0,,0.51,,2,
Chile,Gracilaria spp,"Pacific, Southeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,12,E,31,E,117,E,175,E,258,E,373,E,534,E,755,E,1054,E,1455,E,1990,E,3060,,1237,,6800,,4924,,5332,,9178,,23109,,36150,,38017,,57679,,47807,,48648,,65787,,49183,,105212,,102767,,68386,,31278,,33471,,65538,,71648,,40050,,20266,,15492,,33586,,23668,,21686,,88147,,12150,,14469,,4111,,12460,,12808,,11952,,14846,,16725.22,,20704.69,,21672,
Chile,Rhodophyceae,"Pacific, Southeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,
China,Phaeophyceae,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4427,,6463,,7293,,6990,,6842,,11199,,36090,,67500,,183890,,157930,,190670,,115120,,195760,,286210,,429370,,603330,,671620,,634240,,471015,,432697,E,1763671,E,2108633,E,2849779,E,3150615,E,3445035,E,2212753,E,2218128,E,1826939,E,2309570,,2265050,,2434920,,2446834,E,3019580,E,2736062,E,2676750,E,2719122,E,402457,E,434172,E,803190,,664530,,886420,,1241440,
China,Enteromorpha prolifera,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2434,E,2870,E,5546,E,10160,,10550,,12540,,10478,E,10821,E,8674,E,8529,E,4202,E,956,E,958,E,3540,,3400,,0,...,0,
China,Eucheuma spp,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,64013,E,85588,E,93192,E,84080,,86840,,67240,,65139,E,62362,E,58907,E,91878,E,88590,E,40963,E,47940,E,51140,,56290,,18200,,4200,
China,Sargassum fusiforme,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,75936,E,115214,E,85573,E,114230,,136260,,87480,,78572,E,75900,E,106099,E,107574,E,145021,E,167664,E,181081,E,183650,,199970,,232460,,270320,
China,Gracilaria spp,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,442416,E,777723,E,862142,E,888840,,994510,,1144460,,1239049,E,1113336,E,1442737,E,1885647,E,2355564,E,2506227,E,2587608,E,2865830,,3086740,,3303440,,3480850,
China,Gelidium amansii,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,867,E,1006,E,875,E,3000,,1000,,1200,,1186,E,1165,E,0,,3948,E,0,,0,,0,,0,,0,,0,...,0,...
China,Laminaria japonica,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,N,0,N,443,,930,,2067,,4282,,4537,,17550,,50728,,196959,,338000,,338000,,338000,,405600,,540800,,540800,,676000,,676000,,676000,,811200,,716290,,905570,,1073082,,904082,,978219,,1081201,,1016880,,1502146,,1699545,,1623326,,1709651,,1483942,,1480156,,1563561,,1694468,,1715952,,1375234,,1209364,,1462965,,1844892,,1651509,,2411022,,3340312,,4068351,,4285171,,4356455,,5028399,,4983385,,4856147,,5384537,,4952921,,4736848,,4985830,,4845486,,4738437,,5101949,,5151066,,5242184,,5392797,,5532431,E,5796728,E,5852175,E,6341851,E,6584827,E,8793275,E,9332389,E,9687668.12,,10049720.2,,10292350,,10978362,
China,Porphyra spp,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,35000,,35100,,40700,,37830,,44660,,53950,,91910,,84270,,66300,,72120,,70290,,68150,,99870,,100700,,91970,,84830,,93170,,92210,,92550,,52940,,116480,,158990,,193230,,290000,,306150,,303680,,300130,E,330137,E,366184,E,424913,E,512970,E,587750,E,636914,E,708863,E,703093,E,822100,,904170,,814660,,1062343,E,1040677,E,979354,E,1076405,E,1090149,E,1091165,E,1109903,E,1312850,,1733050,,2017790,,2123040,
China,Undaria pinnatifida,"Pacific, Northwest",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1511135,E,1921466,E,2094759,E,1646300,,1402270,,1320210,,1308884,E,1059097,E,1278941,E,1678117,E,1628150,E,1941076,E,1843870,E,1519530,,1667950,,1755030,,2023930,
Cook Islands,Caulerpa racemosa,"Pacific, Eastern Central",Marine,Tonnes - live weight,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,2,E,0,...,0,...,0,...
Denmark,Phaeophyceae,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1000,E,1000,E,1000,E,1000,E,1000,E,1800,,100,,100,E,100,E,10,,12,,0,...
Denmark,Saccharina latissima,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,...,0,...,0,...,0,...,0,...,0.5,,0,...,0,...,0,...,0,...
Ecuador,Kappaphycus alvarezii,"Pacific, Southeast",Marine,Tonnes - live weight,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,E,40,E,45.6,E,45,E,45,E,45,E
Faroe Islands,Alaria esculenta,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,3,E,8,E,16,E,19,E
Faroe Islands,Saccharina latissima,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,18,E,27,E,72,E,134,E,156,E
Fiji,Eucheuma spp,"Pacific, Western Central",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,750,,8650,,10850,,5000,,6000,,6300,,3450,,2400,,1650,,0,...,0,...,0,...,0,...,2100,,15090,,5200,,3200,,800,,250,,450,,450,,1190,,650,,660,,440,,560,,450,,560,E,470,E,550,E,550,E,550,E,450,E,500,E,500,E
France,Phaeophyceae,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,E,100,E,100,E,100,E,100,E,100,E,0,...,0,...
France,Asparagopsis spp,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,8,,10,,12,,12,,15,,13,,12,,12,,20,,5,,10,,0.4,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
France,Saccharina latissima,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,45.2,,0,...
France,Algae,"Atlantic, Northeast",Marine,Tonnes - live weight,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,124.8,,440,,47.5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,71.16,
